City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,Dargaville,-35.9333,173.8833,64.96,77,53,3.44,NZ,2022-03-11 20:12:36
109,Malatya,38.5,38.0,28.45,55,75,10.36,TR,2022-03-11 20:12:36
110,Dikson,73.5069,80.5464,-2.69,94,100,23.69,RU,2022-03-11 20:12:36
111,Albany,42.6001,-73.9662,51.94,60,99,3.0,US,2022-03-11 20:12:37
112,Khani,41.9563,42.9566,27.97,99,100,5.19,GE,2022-03-11 20:12:37
113,Longyearbyen,78.2186,15.6401,13.84,67,0,0.0,SJ,2022-03-11 20:12:37
114,Chingirlau,51.095,54.0814,12.45,87,100,13.58,KZ,2022-03-11 20:12:38
115,Batagay,67.6333,134.6333,-5.42,99,98,3.04,RU,2022-03-11 20:12:17
116,Nikolskoye,59.7035,30.7861,34.88,97,100,4.72,RU,2022-03-11 20:12:38
117,Nioro,13.35,-15.75,93.42,9,0,7.43,GM,2022-03-11 20:12:39
118,Verkhnyaya Inta,65.9811,60.3094,13.95,80,100,20.02,RU,2022-03-11 20:12:39
119,Bor,56.3567,44.0669,13.93,95,41,4.63,RU,2022-03-11 20:12:39
120,Bundibugyo,0.7414,30.0417,76.86,45,73,2.73,UG,2022-03-11 20:12:40
121,Beloha,-25.1667,45.05,74.75,84,21,16.6,MG,2022-03-11 20:12:40
122,Kavaratti,10.5669,72.642,81.88,75,0,8.46,IN,2022-03-11 20:12:40
123,Sitka,57.0531,-135.33,35.49,93,100,6.91,US,2022-03-11 20:12:41
124,Altay,47.8667,88.1167,27.16,59,100,4.99,CN,2022-03-11 20:12:41
125,Vaini,-21.2,-175.2,80.76,89,75,5.75,TO,2022-03-11 20:12:41
126,Acapulco,16.8634,-99.8901,82.22,65,0,10.36,MX,2022-03-11 20:11:08
127,Beckley,37.7782,-81.1882,63.66,47,40,12.66,US,2022-03-11 20:10:17
128,Vicosa,-20.7539,-42.8819,76.23,80,2,5.57,BR,2022-03-11 20:09:02
129,Port Lincoln,-34.7333,135.8667,63.52,76,0,13.89,AU,2022-03-11 20:08:07
130,Chuy,-33.6971,-53.4616,68.58,55,68,13.65,UY,2022-03-11 20:08:51
131,Dingle,10.9995,122.6711,75.85,92,95,5.01,PH,2022-03-11 20:12:42
132,Puerto Ayora,-0.7393,-90.3518,85.96,88,99,4.0,EC,2022-03-11 20:12:42
133,Prieska,-29.6641,22.7474,84.97,30,70,6.06,ZA,2022-03-11 20:12:43
134,Saint-Joseph,-21.3667,55.6167,77.38,82,23,11.12,RE,2022-03-11 20:12:43
135,Henties Bay,-22.116,14.2845,67.53,83,61,6.96,NA,2022-03-11 20:12:43
136,Mahebourg,-20.4081,57.7,77.25,83,49,12.24,MU,2022-03-11 20:12:44
137,Yar-Sale,66.8333,70.8333,-7.4,100,65,11.14,RU,2022-03-11 20:12:44
138,Juneau,58.3019,-134.4197,35.22,97,100,0.0,US,2022-03-11 20:13:45
139,Marsa Matruh,31.3525,27.2453,53.87,52,100,12.68,EG,2022-03-11 20:13:45
140,Iqaluit,63.7506,-68.5145,-18.13,86,32,5.12,CA,2022-03-11 20:13:45
141,Zhigansk,66.7697,123.3711,-6.23,99,100,5.35,RU,2022-03-11 20:13:46
142,Ano Mera,37.45,25.4,46.58,53,90,27.07,GR,2022-03-11 20:13:46
143,Hasaki,35.7333,140.8333,45.0,59,1,9.46,JP,2022-03-11 20:13:46
144,Abay,49.6311,72.8539,21.58,87,94,10.63,KZ,2022-03-11 20:13:47
145,Toora-Khem,52.4675,96.11,-2.81,99,98,1.07,RU,2022-03-11 20:13:47
146,Lebu,-37.6167,-73.65,63.86,71,0,17.27,CL,2022-03-11 20:13:47
147,Kapuskasing,49.4169,-82.4331,22.62,78,100,9.66,CA,2022-03-11 20:12:02
148,Chimbote,-9.0853,-78.5783,77.02,69,83,9.75,PE,2022-03-11 20:13:48
149,Sayyan,15.1718,44.3244,59.81,35,84,1.39,YE,2022-03-11 20:13:48
150,Mar Del Plata,-38.0023,-57.5575,64.42,71,40,19.57,AR,2022-03-11 20:13:48
151,Ixtapa,20.7,-105.2,76.23,57,0,12.66,MX,2022-03-11 20:13:49
152,Shipitsyno,61.2806,46.5208,21.43,96,99,5.12,RU,2022-03-11 20:13:49
153,Garden City,42.3256,-83.331,34.05,71,100,12.66,US,2022-03-11 20:13:49
154,Sault Sainte Marie,46.5168,-84.3333,28.96,50,100,14.97,CA,2022-03-11 20:11:50
155,Khatanga,71.9667,102.5,-31.56,100,89,5.03,RU,2022-03-11 20:09:07
156,Deputatskiy,69.3,139.9,-11.18,96,100,5.08,RU,2022-03-11 20:13:50
157,Mancio Lima,-7.6142,-72.8958,85.98,66,42,3.83,BR,2022-03-11 20:13:50
158,Along,28.1667,94.7667,61.65,59,0,2.04,IN,2022-03-11 20:13:51
159,Keetmanshoop,-26.5833,18.1333,73.94,62,86,12.93,NA,2022-03-11 20:13:51
160,Tasiilaq,65.6145,-37.6368,33.96,86,100,23.44,GL,2022-03-11 20:13:51
161,Honiara,-9.4333,159.95,77.61,88,97,0.72,SB,2022-03-11 20:13:52
162,Sao Filipe,14.8961,-24.4956,73.9,65,47,11.41,CV,2022-03-11 20:13:52
163,Broome,42.2506,-75.833,52.02,59,20,12.66,US,2022-03-11 20:13:52
164,Hue,16.4667,107.6,69.91,94,40,2.3,VN,2022-03-11 20:13:53
165,Anadyr,64.75,177.4833,16.3,53,0,4.47,RU,2022-03-11 20:13:53
166,Kerema,-7.9631,145.7785,75.79,82,97,2.84,PG,2022-03-11 20:13:53
167,Zakamensk,50.3741,103.2863,5.9,93,99,1.43,RU,2022-03-11 20:13:54
168,Lypova Dolyna,50.5643,33.7979,13.44,92,5,5.06,UA,2022-03-11 20:13:54
169,Kavieng,-2.5744,150.7967,81.32,76,100,6.78,PG,2022-03-11 20:13:54
170,Homer,59.6425,-151.5483,39.78,94,100,4.61,US,2022-03-11 20:13:55
171,Vilhena,-12.7406,-60.1458,75.72,92,99,2.71,BR,2022-03-11 20:13:55
172,Dalvik,65.9702,-18.5286,36.23,75,100,10.65,IS,2022-03-11 20:13:55
173,Karratha,-20.7377,116.8463,85.17,57,1,5.64,AU,2022-03-11 20:13:56
174,Lodja,-3.4833,23.4333,69.98,98,100,1.66,CD,2022-03-11 20:13:56
175,Tessalit,20.1986,1.0114,77.27,13,0,11.63,ML,2022-03-11 20:13:56
176,Hohhot,40.8106,111.6522,46.54,82,94,4.34,CN,2022-03-11 20:13:57
177,Wexford,52.3342,-6.4575,47.12,91,100,7.43,IE,2022-03-11 20:09:44
178,Harsum,52.2104,9.9649,43.61,37,1,12.39,DE,2022-03-11 20:13:57
179,Kachiry,53.0675,76.1036,3.16,90,100,12.48,KZ,2022-03-11 20:13:58
180,Sulangan,11.1373,123.7228,80.49,82,100,5.64,PH,2022-03-11 20:13:58
181,Santa Maria,-29.6842,-53.8069,73.29,72,98,5.64,BR,2022-03-11 20:10:59
182,Tosya,41.0155,34.0401,18.54,72,49,3.11,TR,2022-03-11 20:13:58
183,Azare,11.6765,10.1948,82.44,19,92,8.66,NG,2022-03-11 20:13:59
184,Zolotonosha,49.6689,32.0377,20.34,77,56,10.42,UA,2022-03-11 20:14:59
185,Port Elizabeth,-33.918,25.5701,68.29,88,0,4.61,ZA,2022-03-11 20:14:59
186,Choma,-16.8065,26.9531,62.8,87,79,1.21,ZM,2022-03-11 20:15:00
187,Victoria,22.2855,114.1577,69.85,88,5,4.0,HK,2022-03-11 20:11:06
188,Inirida,3.8653,-67.9239,87.64,59,100,2.73,CO,2022-03-11 20:15:00
189,Doha,25.2867,51.5333,80.58,50,98,11.5,QA,2022-03-11 20:14:35
190,Berlevag,70.8578,29.0864,33.6,73,96,16.6,NO,2022-03-11 20:15:01
191,Ipixuna,-1.7625,-48.8043,77.04,93,100,2.3,BR,2022-03-11 20:15:01
192,Orlik,52.5178,99.825,-6.0,98,100,2.73,RU,2022-03-11 20:15:02
193,Ketchikan,55.3422,-131.6461,46.87,87,100,10.36,US,2022-03-11 20:15:02
