City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Vila Franca Do Campo,PT,63.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
136,Kanniyakumari,IN,82.08,clear sky,8.0833,77.5667,Sparsa Kanyakumari
137,Port Alfred,ZA,84.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
139,Sao Joao Da Barra,BR,89.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
140,Finschhafen,PG,79.2,light rain,-6.6024,147.8681,Cossam Guest House
142,Tateyama,JP,53.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
143,Sitka,US,40.89,overcast clouds,57.0531,-135.33,Westmark Sitka
145,Sheboygan,US,32.38,clear sky,43.7333,-87.9334,Baymont by Wyndham Plymouth
146,Ribnitz-Damgarten,DE,47.1,clear sky,54.25,12.4667,Perle am Bodden
147,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
148,Namibe,AO,72.41,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
150,Coquimbo,CL,67.15,clear sky,-29.9533,-71.3436,Hotel San Juan
151,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
152,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
153,Cascais,PT,69.66,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
155,Samarai,PG,81.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
157,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
158,Phalodi,IN,83.71,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
159,Veraval,IN,79.05,clear sky,20.9,70.3667,Lords Inn Somnath
161,Dicabisagan,PH,76.55,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
163,Lalin,ES,59.05,overcast clouds,42.7167,-8.1167,A Palleira De ROQUE
164,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
165,Imbituba,BR,75.94,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
166,Casper,US,73.72,clear sky,42.8666,-106.3131,Ramkota Hotel
168,Altea,ES,60.39,overcast clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
170,Macau,MO,64.2,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
173,Belmonte,BR,82.44,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
174,Lethem,GY,87.85,scattered clouds,3.3803,-59.7968,Savannah Inn
175,Beruwala,LK,78.39,clear sky,6.4788,79.9828,The Palms Hotel
176,Okato,NZ,55.69,few clouds,-39.2,173.8833,Stony River House
179,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
180,Cervignano Del Friuli,IT,54.64,clear sky,45.8211,13.3381,Hotel Internazionale
181,Torbay,CA,50.88,broken clouds,47.6666,-52.7314,Gallows Cove
182,Broken Hill,AU,60.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
183,Bethel,US,30.02,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
184,Kouroussa,GN,93.92,broken clouds,10.65,-9.8833,Hotel Paillote
185,Pachmarhi,IN,74.75,clear sky,22.4667,78.4333,TBT Budget Stays
187,Nicoya,CR,97.18,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
188,Isangel,VU,78.06,overcast clouds,-19.55,169.2667,Tanna Lodge
