,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Haines Junction,CA,60.7522,-137.5108,26.55,59,100,0.0,overcast clouds
122,Mount Darwin,ZW,-16.7725,31.5838,66.83,88,10,7.34,clear sky
123,Hilo,US,19.7297,-155.09,76.62,72,75,5.99,broken clouds
124,Codrington,AU,-38.2667,141.9667,60.04,70,96,6.46,overcast clouds
125,Eureka,US,40.8021,-124.1637,58.68,78,100,3.6,overcast clouds
126,Jamestown,US,42.097,-79.2353,18.72,61,100,23.02,overcast clouds
127,Van,TR,38.4924,43.3831,36.75,52,20,9.22,few clouds
128,Sibu,MY,2.3,111.8167,75.51,100,40,0.0,scattered clouds
129,Antalaha,MG,-14.9003,50.2788,75.2,89,51,2.91,broken clouds
130,Ternate,ID,0.8,127.4,80.08,81,100,5.77,overcast clouds
131,Saint-Francois,FR,46.4154,3.9054,58.44,44,0,9.22,clear sky
132,Salalah,OM,17.0151,54.0924,80.69,57,0,2.3,clear sky
133,Priargunsk,RU,50.3691,119.1012,18.36,57,0,7.29,clear sky
134,Channel-Port Aux Basques,CA,47.5702,-59.1367,36.81,93,99,11.79,overcast clouds
135,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,77,0,8.86,clear sky
136,Kanniyakumari,IN,8.0833,77.5667,82.08,79,3,9.55,clear sky
137,Port Alfred,ZA,-33.5906,26.891,84.18,46,87,1.01,overcast clouds
138,Yushala,RU,57.0761,64.2601,32.18,97,100,9.26,light snow
139,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,79,50,11.54,scattered clouds
140,Finschhafen,PG,-6.6024,147.8681,79.2,85,100,9.01,light rain
141,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,0,10.36,clear sky
142,Tateyama,JP,34.9833,139.8667,53.1,67,100,12.93,overcast clouds
143,Sitka,US,57.0531,-135.33,40.89,70,100,0.0,overcast clouds
144,Deputatskiy,RU,69.3,139.9,-15.72,96,61,2.53,broken clouds
145,Sheboygan,US,43.7333,-87.9334,32.38,39,0,9.22,clear sky
146,Ribnitz-Damgarten,DE,54.25,12.4667,47.1,81,5,16.78,clear sky
147,Kununurra,AU,-15.7667,128.7333,75.18,94,100,3.44,overcast clouds
148,Namibe,AO,-15.1961,12.1522,72.41,70,12,11.25,few clouds
149,Tygda,RU,53.1167,126.3333,18.95,81,44,10.54,scattered clouds
150,Coquimbo,CL,-29.9533,-71.3436,67.15,69,0,8.84,clear sky
151,Puerto Ayora,EC,-0.7393,-90.3518,85.96,72,100,12.41,overcast clouds
152,Natal,BR,-5.795,-35.2094,86.65,70,20,14.97,few clouds
153,Cascais,PT,38.6979,-9.4215,69.66,52,0,11.5,clear sky
154,Kharp,RU,66.8014,65.8081,25.09,97,100,7.18,light snow
155,Samarai,PG,-10.6167,150.6667,81.01,79,100,7.83,overcast clouds
156,Novoagansk,RU,61.9449,76.6625,22.75,93,100,11.72,overcast clouds
157,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,91,40,11.5,scattered clouds
158,Phalodi,IN,27.1333,72.3667,83.71,15,0,12.91,clear sky
159,Veraval,IN,20.9,70.3667,79.05,71,0,9.62,clear sky
160,Pevek,RU,69.7008,170.3133,-21.96,94,26,3.22,scattered clouds
